player_id,name,age,nationality,height_cm,weight_kg,position,club,league,years_professional,matches_played,goals,assists,yellow_cards,red_cards,pass_accuracy,sprint_speed_kmh,max_jump_cm,vo2_max,agility_score,strength_index,stamina_rating,injury_prone_index,market_value_millions,annual_salary_millions,contract_expires,agent_fee_percentage,boot_sponsor,preferred_foot,aerial_duels_won_percentage,tackle_success_rate,shot_accuracy,penalties_scored,penalties_missed,clean_sheets,saves_percentage,training_attendance,tattoos,social_media_followers_millions,academy_graduate,international_caps,longest_goal_streak,trophies_won
FP001,Lionel Anderson,27,Argentina,170,72,Forward,Manchester City,Premier League,9,312,187,112,24,2,89.4,32.7,67,61.2,9.3,7.5,9.1,2.4,95.8,18.2,2026,8.5,Nike,Left,39.2,45.3,73.9,42,3,0,0,97.5,Yes,72.4,No,84,7,12
FP002,Charles Williams,31,England,188,84,Defender,Liverpool FC,Premier League,12,287,12,18,58,4,86.5,30.4,81,58.7,7.2,9.3,8.6,3.1,45.7,9.8,2025,7.0,Adidas,Right,78.3,82.1,42.1,0,0,89,0,96.2,Yes,14.3,Yes,67,1,8
FP003,Juan Martinez,24,Spain,176,74,Midfielder,FC Barcelona,La Liga,6,178,37,64,31,0,92.7,31.6,70,64.5,9.1,7.8,8.9,1.8,78.4,12.5,2027,6.8,Puma,Right,54.2,76.8,68.4,5,1,0,0,98.7,No,28.6,Yes,21,3,5
FP004,Thomas Mueller,33,Germany,185,78,Forward,Bayern Munich,Bundesliga,15,421,204,156,42,1,84.3,29.8,72,59.1,8.4,7.9,8.7,2.2,38.2,14.7,2024,5.5,Adidas,Right,68.7,53.2,69.5,28,7,0,0,95.4,No,24.5,Yes,112,5,22
FP005,Paulo Costa,26,Brazil,182,76,Forward,PSG,Ligue 1,8,243,142,67,29,3,83.6,33.5,78,62.3,9.7,8.1,8.5,2.7,120.5,22.8,2026,9.2,Nike,Right,62.3,41.7,75.6,34,4,0,0,92.8,Yes,92.1,No,47,9,7
FP006,Marco Rossi,29,Italy,179,73,Midfielder,Juventus,Serie A,10,297,54,89,45,2,91.8,30.7,69,63.8,8.7,7.7,9.2,2.3,65.3,11.6,2025,7.4,Puma,Right,59.8,81.4,64.2,12,2,0,0,97.3,No,18.7,No,72,4,9
FP007,Simon De Bruyne,25,Belgium,181,76,Midfielder,Chelsea FC,Premier League,7,201,48,97,28,0,93.1,31.2,71,65.2,9.5,7.4,8.8,1.6,85.9,14.8,2027,8.0,Nike,Right,61.4,79.5,72.3,7,0,0,0,99.1,No,32.1,No,58,3,6
FP008,Karim Johnson,32,France,187,83,Forward,Real Madrid,La Liga,14,356,219,78,37,5,82.5,31.8,75,57.9,8.2,8.6,8.3,3.5,42.6,19.5,2024,6.5,Adidas,Right,76.2,39.5,74.8,52,6,0,0,94.2,Yes,45.3,No,93,8,15
FP009,Viktor Andersen,28,Sweden,194,89,Goalkeeper,Atletico Madrid,La Liga,9,284,0,0,12,1,74.3,28.7,82,56.4,7.4,8.7,8.2,1.9,38.7,8.5,2026,4.8,Adidas,Right,0,0,0,0,0,124,78.6,96.8,No,7.8,No,54,0,4
FP010,Hiroshi Tanaka,23,Japan,174,68,Midfielder,Borussia Dortmund,Bundesliga,5,143,21,39,17,0,90.6,32.1,68,67.8,9.8,6.9,9.3,1.4,42.3,7.4,2028,5.3,Mizuno,Left,47.5,84.3,66.7,3,1,0,0,99.4,No,19.2,Yes,19,2,1
FP011,Tyler Adams,24,USA,178,73,Midfielder,AC Milan,Serie A,6,167,14,29,38,2,88.7,31.9,71,64.7,8.9,7.6,9.0,2.1,37.8,6.8,2027,6.1,Nike,Right,58.3,83.6,59.4,1,0,0,0,97.5,Yes,14.7,No,42,1,2
FP012,Carlos Sanchez,30,Colombia,183,79,Defender,Inter Milan,Serie A,11,263,7,21,72,8,87.2,29.6,76,57.1,7.8,9.1,8.1,3.6,28.4,6.2,2025,5.7,Puma,Right,81.4,85.2,43.6,0,0,97,0,95.7,Yes,9.6,No,81,1,5
FP013,David Taylor,27,Scotland,175,71,Forward,Ajax,Eredivisie,8,214,97,43,19,1,84.5,32.3,69,62.7,9.2,7.3,8.4,2.5,34.6,5.9,2026,6.4,Adidas,Right,51.2,44.7,71.5,16,3,0,0,96.3,No,7.8,Yes,37,6,3
FP014,Mamadou Diallo,25,Senegal,192,86,Defender,Manchester United,Premier League,7,189,5,8,43,3,85.3,30.9,85,56.8,7.6,9.5,8.5,2.0,52.7,10.4,2027,6.9,Puma,Right,84.6,84.8,38.9,1,0,58,0,98.2,Yes,11.5,No,48,1,4
FP015,Ali Hassan,26,Egypt,180,75,Forward,FC Porto,Primeira Liga,7,195,86,37,26,2,82.8,32.8,73,61.9,9.0,7.7,8.7,2.2,43.2,7.3,2026,7.2,Nike,Left,64.5,42.3,72.7,19,2,0,0,95.8,No,38.6,No,62,7,3
FP016,Kevin O'Brien,31,Ireland,186,82,Midfielder,Celtic FC,Scottish Premiership,12,304,68,92,47,3,89.4,30.1,74,59.3,8.1,8.3,8.9,2.8,21.5,4.8,2024,5.0,New Balance,Right,66.7,78.2,67.1,9,1,0,0,96.1,Yes,5.3,Yes,86,4,9
FP017,Federico Conti,28,Italy,177,72,Midfielder,AS Roma,Serie A,9,237,43,81,39,1,91.2,31.3,70,62.4,8.8,7.5,8.8,2.4,38.9,7.1,2025,6.7,Puma,Right,57.3,80.7,65.8,4,2,0,0,97.8,No,12.4,Yes,41,3,2
FP018,Mohammed Al-Saeed,27,Saudi Arabia,182,78,Forward,Al-Hilal,Saudi Pro League,8,212,104,45,23,4,81.7,31.5,75,60.8,8.6,8.0,8.2,2.6,35.7,18.5,2026,8.3,Nike,Right,65.8,43.5,70.6,24,3,0,0,93.5,Yes,29.7,No,72,5,6
FP019,Son Min-ho,29,South Korea,179,73,Forward,Tottenham Hotspur,Premier League,10,281,127,73,18,0,85.9,32.4,71,63.1,9.4,7.4,8.9,1.7,58.3,12.3,2025,7.1,Nike,Right,58.9,47.6,74.2,14,1,0,0,98.3,No,43.5,No,104,6,3
FP020,Gabriel Torres,24,Uruguay,188,82,Defender,Atletico Madrid,La Liga,6,153,3,11,37,5,88.1,30.5,83,58.4,7.7,9.2,8.6,2.3,47.6,6.7,2028,6.3,Adidas,Right,82.7,86.5,35.2,0,0,64,0,98.5,Yes,8.2,No,31,1,4
FP021,Pierre Dubois,30,France,185,80,Midfielder,Leicester City,Premier League,11,268,51,83,44,2,90.3,30.6,76,60.5,8.5,8.2,8.5,2.9,28.3,5.6,2025,5.9,Adidas,Right,65.4,76.9,66.5,8,2,0,0,94.9,No,6.7,No,62,3,2
FP022,Alexei Petrov,26,Russia,190,87,Goalkeeper,Zenit St. Petersburg,Russian Premier League,8,241,0,0,9,0,72.6,28.5,81,55.7,7.1,8.8,8.0,1.8,25.4,4.9,2027,4.2,Adidas,Right,0,0,0,0,0,106,82.3,97.6,No,5.2,Yes,37,0,7
FP023,Santiago Rodriguez,23,Argentina,176,74,Forward,Sevilla FC,La Liga,5,128,57,32,16,1,83.9,32.6,72,63.6,9.3,7.6,8.7,1.5,39.8,6.3,2029,6.6,Nike,Left,57.1,46.8,73.4,7,0,0,0,99.2,No,15.6,No,14,4,1
FP024,Oscar Fernandez,32,Spain,181,76,Midfielder,Villarreal CF,La Liga,13,342,67,112,51,3,92.4,29.3,69,58.2,8.3,7.8,8.1,3.3,18.7,4.5,2024,5.2,Adidas,Right,59.2,75.6,64.7,5,3,0,0,93.8,Yes,10.3,Yes,79,3,5
FP025,Andre Silva,25,Portugal,184,78,Forward,Benfica,Primeira Liga,7,186,82,41,21,2,84.7,32.2,76,62.9,8.9,8.1,8.8,2.1,46.5,8.2,2027,7.5,Nike,Right,68.3,45.2,73.1,15,2,0,0,97.1,No,22.8,Yes,29,6,3
FP026,Ivan Kovacic,29,Croatia,180,75,Midfielder,AC Milan,Serie A,10,267,38,79,42,1,90.8,30.8,73,61.7,8.6,7.9,9.0,2.4,35.2,6.8,2025,6.0,Puma,Right,62.7,79.3,63.5,3,1,0,0,96.5,Yes,8.9,No,84,2,7
FP027,Jamal Wilson,22,England,177,72,Forward,Arsenal FC,Premier League,4,97,42,23,11,0,86.2,33.1,70,65.4,9.6,7.2,9.1,1.3,68.3,8.9,2029,7.8,Adidas,Right,53.6,48.4,72.8,6,0,0,0,99.5,No,21.4,Yes,12,5,1
FP028,Lars Jorgensen,31,Denmark,193,88,Defender,Bayer Leverkusen,Bundesliga,12,298,9,14,64,6,87.9,29.5,84,57.3,7.5,9.4,8.2,3.2,22.6,5.7,2024,5.1,Puma,Right,85.2,87.3,40.3,0,0,83,0,95.3,Yes,4.1,No,96,1,6
FP029,Cristian Lopez,27,Mexico,175,71,Midfielder,Napoli,Serie A,8,218,31,62,35,2,89.7,31.7,69,62.5,8.8,7.6,8.9,2.0,31.5,5.9,2026,6.2,Nike,Left,56.8,77.5,66.9,2,1,0,0,98.1,Yes,17.3,No,65,2,3
FP030,Luka Novak,28,Slovenia,189,85,Goalkeeper,RB Leipzig,Bundesliga,9,259,0,0,8,0,75.2,28.9,83,56.1,7.3,8.7,8.3,1.7,29.7,6.1,2026,4.5,Adidas,Right,0,0,0,0,0,114,81.5,98.3,No,3.6,Yes,57,0,2
FP031,Ahmed Salah,25,Egypt,178,74,Forward,Leicester City,Premier League,7,174,76,34,19,1,83.4,32.7,72,63.2,9.2,7.7,8.6,2.2,43.8,7.6,2027,6.9,Nike,Right,62.1,44.8,72.5,11,1,0,0,97.3,Yes,31.2,No,46,6,2
FP032,Bryan Johnson,29,USA,185,79,Defender,Juventus,Serie A,10,257,4,16,61,5,87.6,30.2,78,58.5,7.9,9.0,8.4,3.0,32.1,6.5,2025,5.6,Nike,Right,79.8,85.7,39.2,0,0,72,0,96.7,No,12.8,No,67,1,4
FP033,Yuki Nakamura,24,Japan,173,68,Midfielder,Monaco,Ligue 1,6,154,28,47,21,0,91.5,32.0,69,64.8,9.7,7.1,9.2,1.6,37.9,5.8,2028,5.7,Mizuno,Right,54.2,82.1,65.9,2,0,0,0,99.3,No,8.4,Yes,27,2,1
FP034,Robert Jones,31,Wales,184,78,Forward,West Ham United,Premier League,12,289,112,53,39,3,84.1,30.5,74,58.6,8.0,8.2,8.0,3.1,21.3,4.3,2024,5.4,Adidas,Right,67.9,43.2,71.6,18,4,0,0,94.5,Yes,7.2,No,84,5,3
FP035,Ismail Karim,26,Morocco,179,75,Midfielder,Ajax,Eredivisie,7,192,33,68,29,1,90.1,31.4,72,62.3,8.7,7.8,8.8,2.3,28.9,5.2,2027,5.8,Puma,Right,59.4,81.2,64.3,3,1,0,0,98.4,No,14.5,No,41,3,2
FP036,Michael Schmidt,30,Germany,182,77,Midfielder,Borussia Dortmund,Bundesliga,11,272,46,87,47,2,91.9,30.4,73,59.8,8.4,8.0,8.5,2.7,32.6,7.5,2025,6.3,Adidas,Right,63.5,78.9,65.2,6,2,0,0,95.9,No,9.7,Yes,74,3,8
FP037,Emmanuel Okonkwo,23,Nigeria,187,83,Defender,AS Monaco,Ligue 1,5,134,2,9,31,3,86.8,31.1,82,61.2,7.8,9.1,8.7,1.8,41.2,6.3,2028,6.4,Puma,Right,83.1,84.9,37.8,0,0,46,0,98.6,Yes,7.5,No,18,1,1
FP038,Rafael Santos,27,Brazil,174,70,Forward,Flamengo,Brasileirão Série A,8,224,93,58,24,2,85.3,33.3,71,63.5,9.5,7.4,8.7,2.5,37.8,8.3,2026,7.3,Nike,Right,56.7,47.3,74.5,25,2,0,0,96.8,Yes,43.7,Yes,42,8,6
FP039,Johan Andersson,32,Sweden,188,84,Defender,PSG,Ligue 1,13,317,15,22,68,7,88.3,29.4,80,56.9,7.4,9.3,8.1,3.4,23.4,9.6,2024,5.3,Adidas,Right,82.5,86.1,41.7,1,0,92,0,94.2,No,6.8,No,97,1,11
FP040,Matteo Bianchi,25,Italy,181,76,Midfielder,Inter Milan,Serie A,7,197,37,73,32,1,92.2,31.5,73,63.7,8.9,7.8,9.1,1.9,49.5,8.5,2027,7.0,Puma,Right,60.3,80.4,66.2,4,1,0,0,98.9,No,15.2,Yes,31,3,4